run_id,run_number,commit_sha,commit_message,status,event,workflow_duration,test_count,test_failures,test_passed,test_mean_duration,attempt,run_started_at,updated_at,html_url
27115660590,15,24737ab92c3ecf96e197fa797b4d73acd85c9af9,exp(combo-slow-many-nocache): cache=false extra=200 fail=false slow=true/10s parallel=True,success,push,30.0,214,0,214,0.0468,1,2026-06-08T04:16:13Z,2026-06-08T04:16:43Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115660590
27115651151,14,5d0e2b82b11ea32d564482f0cf3c900b0e8e9fa0,exp(sequential-2): cache=true extra=50 fail=false slow=false/0s parallel=False,success,push,45.0,63,0,63,0.0001,1,2026-06-08T04:15:54Z,2026-06-08T04:16:39Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115651151
27115641242,13,95bccabfa5c03352a13106f1676efc4954edfbbc,exp(sequential-1): cache=true extra=0 fail=false slow=false/0s parallel=False,success,push,37.0,14,0,14,0.0001,1,2026-06-08T04:15:35Z,2026-06-08T04:16:12Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115641242
27115631119,12,9df5968427c7ef381f49e687d76cd1e4137b0789,exp(no-cache-2): cache=false extra=50 fail=false slow=false/0s parallel=True,success,push,21.0,63,0,63,0.0001,1,2026-06-08T04:15:16Z,2026-06-08T04:15:37Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115631119
27115618689,11,3e04241193a4e6ad5c310b88b8aa31025989e8c3,exp(no-cache-1): cache=false extra=0 fail=false slow=false/0s parallel=True,success,push,23.0,14,0,14,0.0001,1,2026-06-08T04:14:56Z,2026-06-08T04:15:19Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115618689
27115608784,10,40aa598e9cf7a4508594821d9922cd3fca57abfd,exp(slow-test-15s): cache=true extra=0 fail=false slow=true/15s parallel=True,success,push,39.0,14,0,14,1.0716,1,2026-06-08T04:14:37Z,2026-06-08T04:15:16Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115608784
27115598414,9,33714917f825c947bf98c873a5002985fd7f7ec9,exp(slow-test-5s): cache=true extra=0 fail=false slow=true/5s parallel=True,success,push,32.0,14,0,14,0.3573,1,2026-06-08T04:14:17Z,2026-06-08T04:14:49Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115598414
27115588790,8,52b336a3c710424b1bb24cde933c951c1203c23f,exp(more-tests-500): cache=true extra=500 fail=false slow=false/0s parallel=True,success,push,28.0,513,0,513,0.0001,1,2026-06-08T04:13:59Z,2026-06-08T04:14:27Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115588790
27115578063,7,708d02bb70b386fcd9a19aa61154ea6dfbf1aa15,exp(more-tests-200): cache=true extra=200 fail=false slow=false/0s parallel=True,success,push,25.0,213,0,213,0.0001,1,2026-06-08T04:13:39Z,2026-06-08T04:14:04Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115578063
27115567979,6,f97f206dce585bd5f09196609c02fcd9782415e4,exp(more-tests-50): cache=true extra=50 fail=false slow=false/0s parallel=True,success,push,25.0,63,0,63,0.0001,1,2026-06-08T04:13:20Z,2026-06-08T04:13:45Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115567979
27115557184,5,6a1e0ee9c5dd3bec61f8fe38c145d2e6864f6aa8,exp(failing-2): cache=true extra=10 fail=true slow=false/0s parallel=True,failure,push,23.0,24,1,23,0.0001,1,2026-06-08T04:13:00Z,2026-06-08T04:13:23Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115557184
27115546164,4,70b7731541f7354b7cdcb84d8949391f4ed39396,exp(failing-1): cache=true extra=0 fail=true slow=false/0s parallel=True,failure,push,22.0,14,1,13,0.0001,1,2026-06-08T04:12:41Z,2026-06-08T04:13:03Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115546164
27115535197,3,f366a4bf81a9623527f351c52fb52f71898a130c,exp(baseline-2): cache=true extra=0 fail=false slow=false/0s parallel=True,success,push,32.0,14,0,14,0.0001,1,2026-06-08T04:12:22Z,2026-06-08T04:12:54Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115535197
27115524607,2,63f3a1cf7baec643ffaf91e96fc6785250e5792c,exp(baseline-1): cache=true extra=0 fail=false slow=false/0s parallel=True,success,push,24.0,14,0,14,0.0001,1,2026-06-08T04:12:03Z,2026-06-08T04:12:27Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115524607
27115487508,1,a0dae0cadc052d0be3d28d6208ff2bb0b0642b95,"chore: projeto-alvo, pipeline CI/CD e scripts de coleta/visualização",success,push,20.0,14,0,14,0.0001,1,2026-06-08T04:10:52Z,2026-06-08T04:11:12Z,https://github.com/ryanbotgar/ci-cd-metrics-experiment/actions/runs/27115487508
